cca3,decade_start,decade_end,mean_temp_c,warming_c_per_decade,detrended_volatility_c,mean_uncertainty_c
BHR,2000,2009,27.2053,-0.09067676767676836,0.14405908528230862,0.37464166666666665
BHS,1960,1969,25.180116666666667,-0.1696363636363638,0.17080787229168437,0.3586083333333333
BHS,1970,1979,25.380591666666668,0.24197474747474657,0.18614212350288226,0.28683333333333333
BHS,1980,1989,25.51425,0.12249494949494902,0.19800416681176894,0.3266083333333334
BHS,1990,1999,25.8156,0.10120202020201696,0.2997364737003027,0.316675
BHS,2000,2009,25.839725000000005,0.19783333333333164,0.22195425927401474,0.32614166666666666
BIH,1960,1969,10.553733333333335,-0.45366666666666644,0.413531999747074,0.3789083333333333
BIH,1970,1979,10.505658333333335,0.10805555555555676,0.39278113676598164,0.32295833333333335
BIH,1980,1989,10.59435,0.7522727272727265,0.3256122532677703,0.28846666666666665
BIH,1990,1999,11.067466666666668,-0.18862626262626417,0.5625664598640195,0.3301583333333334
BIH,2000,2009,11.5173,0.05420202020202056,0.5887343853604942,0.3252333333333334
BLM,1960,1969,26.82451666666667,-0.3831515151515186,0.19652735114348563,0.35830833333333334
BLM,1970,1979,26.748399999999997,0.15963636363636516,0.2400512064246888,0.3485083333333333
BLM,1980,1989,27.048000000000002,-0.14423232323232413,0.21073963294046585,0.31251666666666666
BLM,1990,1999,27.266525,0.514823232323232,0.1753312746056579,0.2825583333333333
BLM,2000,2009,27.467358333333333,0.17423737373737228,0.22859127260699108,0.2679833333333333
BLR,1960,1969,5.878433333333334,-1.1361818181818175,0.7389471999092003,0.28679166666666667
BLR,1970,1979,6.164141666666667,-0.8569949494949496,0.8247492863046366,0.24841666666666667
BLR,1980,1989,6.148691666666666,0.5681969696969702,1.1794145027768097,0.22271666666666667
BLR,1990,1999,6.779725000000001,-0.4666212121212123,0.6621371064419157,0.20791666666666667
BLR,2000,2009,7.355025,0.17234848484848506,0.5064416645814385,0.21466666666666664
BLZ,1960,1969,25.274458333333335,0.001974747474746066,0.2179192129024839,0.43204166666666666
BLZ,1970,1979,25.292375,0.03684343434343529,0.22971717176343873,0.38689166666666663
BLZ,1980,1989,25.474691666666665,-0.24526767676767922,0.1934487993077503,0.34573333333333334
BLZ,1990,1999,25.77119166666667,0.16609595959595724,0.2842766776926755,0.36151666666666665
BLZ,2000,2009,25.71243333333333,0.34372727272727305,0.17896437150516353,0.30357500000000004
BOL,1960,1969,21.189075,0.7010757575757594,0.29024636647987345,0.40494166666666676
BOL,1970,1979,21.113666666666667,-0.12878787878787942,0.26277836424433204,0.33719166666666667
BOL,1980,1989,21.363808333333335,0.44336868686868813,0.2330478014064217,0.32274166666666665
BOL,1990,1999,21.46904166666667,-0.26042929292929073,0.3048601969184724,0.3089666666666667
BOL,2000,2009,21.328916666666665,0.026383838383838978,0.18104866957211982,0.3078416666666666
BRA,1960,1969,24.964499999999997,0.12215151515151426,0.2125377600306189,0.26784166666666664
BRA,1970,1979,24.90479166666667,-0.06480303030303311,0.23999248298880818,0.2319833333333333
BRA,1980,1989,25.153125000000003,-0.016358585858585017,0.19983469871078294,0.21573333333333333
BRA,1990,1999,25.432500000000005,0.38545454545454266,0.18240593604663782,0.18735
BRA,2000,2009,25.56206666666667,0.1402424242424238,0.17718241589301018,0.18401666666666666
BRB,1960,1969,26.767599999999998,-0.1873131313131318,0.1936355515251277,0.3438166666666667
BRB,1970,1979,26.63465,0.16365656565656433,0.2155480296292843,0.30513333333333337
BRB,1980,1989,26.899716666666666,-0.16302020202019982,0.2530783602840641,0.27196666666666663
BRB,1990,1999,27.110741666666666,0.5349040404040405,0.16476239393530875,0.2453
BRB,2000,2009,27.29255,0.20473737373737086,0.21892318577553332,0.2311583333333333
BTN,1960,1969,11.975791666666666,-0.21471212121212283,0.29729483881167956,0.34683333333333327
BTN,1970,1979,12.140249999999998,0.17465656565656573,0.2058875921660435,0.36272499999999996
BTN,1980,1989,12.199641666666666,0.39987373737373744,0.2220194078069479,0.35379166666666667
BTN,1990,1999,12.220116666666666,0.5696767676767662,0.3215962981798653,0.32100000000000006
BTN,2000,2009,12.461566666666666,0.906606060606062,0.2030355955451202,0.36008333333333337
BWA,1960,1969,22.05786666666667,-0.007838383838379207,0.2953568166623149,0.33815
BWA,1970,1979,21.952958333333335,-0.6261363636363622,0.49567863840410337,0.3281833333333333
BWA,1980,1989,22.351241666666663,0.47986363636364016,0.4414735362953913,0.379075
BWA,1990,1999,22.71541666666667,0.1209898989898942,0.44331696536538145,0.3426083333333333
BWA,2000,2009,22.4974,-0.27546464646464586,0.5606700328758949,0.36178333333333335
CAF,1960,1969,25.2519,0.0637979797979796,0.1374141986827642,0.29155833333333336
CAF,1970,1979,25.40305833333333,0.18202525252525426,0.21345408334749152,0.25810000000000005
CAF,1980,1989,25.473958333333332,0.024489898989901088,0.22103946282609815,0.357225
CAF,1990,1999,25.700483333333334,0.3588181818181829,0.2781195115601159,0.5061583333333334
CAF,2000,2009,26.038241666666664,0.7207727272727305,0.17053345849354226,0.49804166666666666
CAN,1960,1969,-4.950608333333333,-0.09643939393939392,0.3999065399723818,0.2518166666666667
CAN,1970,1979,-5.047933333333334,0.6990202020202028,0.7758396494708064,0.242725
CAN,1980,1989,-4.483224999999999,-0.15741919191919113,0.8633464610149864,0.24819166666666667
CAN,1990,1999,-4.243991666666667,1.916176767676768,0.5380434479133626,0.23377499999999998
CAN,2000,2009,-3.853158333333334,-0.12283333333333354,0.7105525699268352,0.22860833333333336
CHE,1960,1969,7.079491666666667,-0.25304545454545463,0.5694274801365664,0.2828833333333333
CHE,1970,1979,7.129533333333333,0.07965656565656584,0.29793493778196123,0.27412499999999995
CHE,1980,1989,7.331475,0.8951666666666659,0.46807499201319025,0.22393333333333337
CHE,1990,1999,7.895841666666667,-0.09317676767676819,0.5052192364137559,0.22924166666666665
CHE,2000,2009,8.241783333333334,-0.14407070707070674,0.35374011983547965,0.2139083333333333
CHL,1960,1969,9.666174999999999,0.13355050505050642,0.15902434808764004,0.33199166666666663
CHL,1970,1979,9.563841666666667,0.5419646464646461,0.23761193325838312,0.2848583333333333
CHL,1980,1989,9.956058333333335,-0.014328282828281982,0.25368209803796854,0.26345833333333335
CHL,1990,1999,9.929525,0.37097474747474757,0.19675374175666588,0.29455
CHL,2000,2009,9.912308333333332,0.30200505050504994,0.23894758080197945,0.30557500000000004
CHN,1960,1969,6.7791250000000005,-0.4789343434343434,0.17037724027285114,0.21421666666666664
CHN,1970,1979,6.86435,0.2653030303030301,0.23146010757213983,0.190275
CHN,1980,1989,6.978924999999999,0.31646969696969623,0.21955901068980116,0.179375
