cca3,year,annual_mean_temp_c,valid_months,annual_mean_uncertainty_c
MAF,2001,27.4085,12,0.2723333333333333
MAF,2002,27.53825,12,0.25783333333333336
MAF,2003,27.67741666666667,12,0.2851666666666666
MAF,2004,27.334000000000003,12,0.2668333333333333
MAF,2005,27.732333333333333,12,0.24791666666666665
MAF,2006,27.63625,12,0.30275
MAF,2007,27.685083333333335,12,0.2838333333333333
MAF,2008,27.140416666666667,12,0.2578333333333333
MAF,2009,27.46858333333333,12,0.24625
MAR,1960,17.85625,12,0.39658333333333334
MAR,1961,18.608666666666668,12,0.3706666666666667
MAR,1962,18.0075,12,0.4595
MAR,1963,17.779,12,0.51675
MAR,1964,17.9755,12,0.49091666666666667
MAR,1965,17.626833333333334,12,0.6044999999999999
MAR,1966,17.951083333333333,12,0.4295
MAR,1967,17.543583333333334,12,0.4558333333333333
MAR,1968,17.71825,12,0.39725000000000005
MAR,1969,17.62183333333333,12,0.4331666666666667
MAR,1970,17.9635,12,0.48741666666666666
MAR,1971,16.9075,12,0.3753333333333333
MAR,1972,16.594916666666666,12,0.5170833333333333
MAR,1973,17.5375,12,0.41766666666666663
MAR,1974,17.249583333333334,12,0.48533333333333334
MAR,1975,17.41241666666667,12,0.4056666666666667
MAR,1976,17.034833333333335,12,0.5195833333333333
MAR,1977,17.73275,12,0.47100000000000003
MAR,1978,17.952749999999998,12,0.40549999999999997
MAR,1979,17.860333333333333,12,0.389
MAR,1980,18.05675,12,0.338
MAR,1981,18.312166666666666,12,0.39691666666666664
MAR,1982,17.701916666666666,12,0.3313333333333333
MAR,1983,18.555083333333332,12,0.3598333333333333
MAR,1984,17.714000000000002,12,0.39825
MAR,1985,18.30933333333333,12,0.318
MAR,1986,17.792666666666666,12,0.35966666666666663
MAR,1987,18.814666666666668,12,0.3443333333333333
MAR,1988,18.212,12,0.3373333333333333
MAR,1989,18.530333333333335,12,0.3799166666666667
MAR,1990,18.697666666666667,12,0.32525
MAR,1991,17.617250000000002,12,0.30083333333333334
MAR,1992,17.68575,12,0.41558333333333336
MAR,1993,17.502666666666666,12,0.3434166666666667
MAR,1994,18.460416666666667,12,0.32075000000000004
MAR,1995,18.788833333333333,12,0.3476666666666666
MAR,1996,18.248333333333335,12,0.285
MAR,1997,18.79925,12,0.31525
MAR,1998,18.712666666666667,12,0.3154166666666667
MAR,1999,18.368333333333336,12,0.30041666666666667
MAR,2000,18.565083333333334,12,0.27458333333333335
MAR,2001,19.23391666666667,12,0.32641666666666663
MAR,2002,18.71258333333333,12,0.3406666666666667
MAR,2003,18.856,12,0.3745833333333333
MAR,2004,18.486,12,0.37200000000000005
MAR,2005,18.580750000000002,12,0.3036666666666667
MAR,2006,18.793166666666668,12,0.3715
MAR,2007,18.419666666666668,12,0.329
MAR,2008,18.382166666666667,12,0.37916666666666665
MAR,2009,19.01075,12,0.418
MCO,1960,9.05675,12,0.3629166666666667
MCO,1961,10.008583333333334,12,0.363
MCO,1962,8.852083333333333,12,0.36741666666666667
MCO,1963,8.476416666666667,12,0.3501666666666667
MCO,1964,9.456166666666666,12,0.3219166666666667
MCO,1965,8.7225,12,0.35533333333333333
MCO,1966,9.368666666666666,12,0.33875000000000005
MCO,1967,9.525166666666667,12,0.30875
MCO,1968,9.046249999999999,12,0.31625
MCO,1969,8.678916666666666,12,0.32
MCO,1970,9.033333333333333,12,0.3275
MCO,1971,9.208916666666667,12,0.3445833333333333
MCO,1972,8.889750000000001,12,0.3451666666666667
MCO,1973,9.23575,12,0.35733333333333334
MCO,1974,9.212916666666667,12,0.3085
MCO,1975,9.182833333333333,12,0.36233333333333334
MCO,1976,9.130166666666666,12,0.39458333333333334
MCO,1977,9.066333333333334,12,0.30575
MCO,1978,8.708416666666666,12,0.314
MCO,1979,9.289250000000001,12,0.28191666666666665
MCO,1980,8.690083333333334,12,0.29983333333333334
MCO,1981,9.2305,12,0.2808333333333333
MCO,1982,9.894833333333333,12,0.27233333333333337
MCO,1983,9.60375,12,0.32925
MCO,1984,8.689083333333333,12,0.30741666666666667
MCO,1985,9.15525,12,0.3593333333333333
MCO,1986,9.515333333333333,12,0.2735
MCO,1987,9.504916666666666,12,0.3160833333333333
MCO,1988,9.7545,12,0.25066666666666665
MCO,1989,10.0955,12,0.35925
MCO,1990,10.135333333333334,12,0.31825
MCO,1991,9.468333333333334,12,0.22325000000000003
MCO,1992,9.897916666666667,12,0.40975
MCO,1993,9.551666666666668,12,0.35425
MCO,1994,10.569583333333334,12,0.31666666666666665
MCO,1995,9.756583333333333,12,0.327
MCO,1996,9.278583333333334,12,0.30083333333333334
MCO,1997,10.368083333333333,12,0.3275
MCO,1998,9.88925,12,0.347
