country,cca3,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,area_km2,continent,target_exposure_class
Morocco,MAR,1970,15274351,34.20524241406338,,17.868850000000002,-0.6360404040404046,0.2374019827077388,0.4554666666666666,446550,Africa,High
Morocco,MAR,1980,19678444,44.06772813794648,28.833257792753365,17.42460833333333,0.6504393939393938,0.4289978319138184,0.4473583333333333,446550,Africa,High
Morocco,MAR,1990,24570814,55.02365692531632,24.86156933952706,18.199891666666666,0.45047979797979865,0.3560592165684384,0.3563583333333333,446550,Africa,High
Monaco,MCO,1970,24270,12135.0,,9.11915,-0.2926262626262633,0.4601824099937323,0.34045000000000003,2,Europe,Medium
Monaco,MCO,1980,27076,13538.0,11.561598681499795,9.095766666666666,-0.040252525252525026,0.17895764729364988,0.33416666666666667,2,Europe,High
Monaco,MCO,1990,30329,15164.5,12.014330033978426,9.413375,0.8829141414141413,0.39060972599693006,0.30484999999999995,2,Europe,High
Moldova,MDA,1970,3711140,109.64781658098445,,9.287816666666668,-0.7781515151515149,0.6645358061913872,0.3247833333333333,33846,Europe,Low
Moldova,MDA,1980,4103240,121.2326419665544,10.565486615972453,9.262058333333334,-0.33921717171717386,0.5894041347203465,0.2863583333333333,33846,Europe,High
Moldova,MDA,1990,4480199,132.3701175914436,9.186862089470749,9.068591666666666,0.3738232323232318,0.8893966025667703,0.26644166666666663,33846,Europe,Low
Madagascar,MDG,1970,6639751,11.310540490357573,,22.828308333333332,0.14404545454545636,0.3884224264499259,0.3283333333333333,587041,Africa,Medium
Madagascar,MDG,1980,8948162,15.242822903340652,34.766529648476286,22.882,0.2718585858585822,0.22859947929136987,0.30859166666666665,587041,Africa,Low
Madagascar,MDG,1990,11882762,20.24179231092888,32.7955618148174,23.011158333333334,0.1262575757575753,0.21844040881985893,0.2737,587041,Africa,Medium
Mexico,MEX,1970,50289306,25.600664842507157,,20.7012,-0.23125252525252366,0.21132515469380425,0.22640833333333332,1964375,North America,Low
Mexico,MEX,1980,67705186,34.46652803054407,34.63137868715069,20.599383333333332,-0.023393939393941285,0.23048590976797548,0.22368333333333332,1964375,North America,Low
Mexico,MEX,1990,81720428,41.6012360165447,20.70039656932632,20.763841666666668,-0.18906565656565688,0.20226510760899702,0.20990000000000003,1964375,North America,High
North Macedonia,MKD,1970,1656783,64.43367168358418,,10.688566666666667,-0.4732929292929282,0.3337718705624402,0.38260833333333333,25713,Europe,Medium
North Macedonia,MKD,1980,1907023,74.16571384124762,15.103969560286412,10.400425,0.13646969696969424,0.39805752722132176,0.3595166666666667,25713,Europe,High
North Macedonia,MKD,1990,2044174,79.49963053708241,7.191890186956318,10.493108333333334,0.6391262626262618,0.13959272054134225,0.3188916666666667,25713,Europe,Medium
Mali,MLI,1970,6153587,4.961801882289194,,28.518008333333334,0.3969848484848518,0.26381604092848204,0.3836333333333333,1240192,Africa,Low
Mali,MLI,1980,7372581,5.944709367581794,19.809486727009794,28.554025000000003,0.10865151515151633,0.3866140410315998,0.31218333333333337,1240192,Africa,Low
Mali,MLI,1990,8945026,7.212613853338838,21.32828381268379,28.913175000000003,-0.035176767676767765,0.356286197194945,0.3475583333333333,1240192,Africa,Low
Malta,MLT,1970,315414,998.1455696202531,,18.641558333333332,-0.5534090909090904,0.1605412369100134,0.4046,316,Europe,High
Malta,MLT,1980,333587,1055.6550632911392,5.761633916059528,18.420483333333333,0.12480808080808176,0.279064803450521,0.3703166666666666,316,Europe,High
Malta,MLT,1990,365392,1156.3037974683543,9.534244439981165,18.758933333333335,1.0287676767676763,0.2889575201434239,0.3584833333333333,316,Europe,High
Myanmar,MMR,1970,27284112,40.32663196261185,,24.03014166666667,-0.16157070707070995,0.2107755319062326,0.29967499999999997,676578,Asia,Medium
Myanmar,MMR,1980,33465781,49.4633006098336,22.65666186973576,23.97771666666667,0.37634343434343137,0.2368953706962499,0.30152500000000004,676578,Asia,Medium
Myanmar,MMR,1990,40099553,59.268189329242155,19.82255247531799,24.11671666666667,0.12755555555555514,0.16221328108287217,0.292625,676578,Asia,High
Montenegro,MNE,1970,530268,38.39183318853171,,10.480625,-0.6282878787878786,0.28553403541713535,0.3803833333333333,13812,Europe,Medium
Montenegro,MNE,1980,589324,42.66753547639733,11.137009964772538,10.239966666666668,0.09445454545454676,0.3661604618720918,0.3385916666666666,13812,Europe,High
Montenegro,MNE,1990,621442,44.99290472053287,5.4499731896206605,10.372966666666667,0.7772121212121209,0.24468591459531733,0.3390916666666667,13812,Europe,Medium
Mongolia,MNG,1970,1293880,0.8272308213616689,,-0.5656666666666668,-1.0340707070707071,0.49703091556078766,0.3389333333333334,1564110,Asia,Low
Mongolia,MNG,1980,1697780,1.0854607412522137,31.21618697251678,-0.37382499999999974,0.9029242424242419,0.4327635632901181,0.2639833333333333,1564110,Asia,Low
Mongolia,MNG,1990,2161433,1.3818932172289673,27.30936870501479,-0.3156333333333334,0.5978080808080808,0.5876732484402245,0.2899666666666666,1564110,Asia,Low
Mozambique,MOZ,1970,8411676,10.493738694344989,,23.6265,0.13030303030302656,0.28310203670660794,0.2541,801590,Africa,Low
